name,description
Végétarien,Exempt de viande ou de produits d'origine animale.
Végétalien,Exempt de produits d'origine animale.
Sans gluten,Ne contient pas de gluten une protéine que l'on trouve dans le blé.
Santé,Plat sain et nutritif.
Vegan,Exempt de produits d'origine animale.
Kasher,Conforme aux lois alimentaires juives.
Halal,Conforme aux lois alimentaires musulmanes.
Épicé,Plat épicé qui contient des ingrédients tels que les piments et les épices.
Sucré,Plat sucré qui contient des ingrédients tels que le sucre et le miel.
Salé,Plat salé qui contient des ingrédients tels que le sel et le fromage.
